Reference,Country,Site,Longitude (degrees),Latitude (degrees),Elevation (m),Land use type,Hydrology type,Vector Species,Method,Start Year,Start Month,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Briët et al. (2003),Ivory_Coast,Pepleu,-8.2,6.95,256,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,11.68408081,27.80300253,49.33975398,49.7838712,17.21820095,47.25430641,38.37194721,12.16329749,8.146860908,13.51224113,16.20827626,15.60925176
Briët et al. (2003),Ivory_Coast,Pepleu,-8.2,6.95,256,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,20.4724412,19.37230875,13.07402151,-9,-9,-9,-9,-9,-9,-9,-9,-9,
Briët et al. (2003),Ivory_Coast,Petionara,-5.12,8.43,277,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,2.536231884,1.93236715,0.241545894,0,3.178854215,9.863615528,15.15774529,15.77753908,12.78594667,11.73658487,15.67607395
Briët et al. (2003),Ivory_Coast,Petionara,-5.12,8.43,277,R,N,AF,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,-9,0,0,0,0.022759602,0.02007722,0,0
Briët et al. (2003),Ivory_Coast,Petionara,-5.12,8.43,277,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,0,0,0,40.76436181,52.84618424,31.32772763,27.8188547,14.12851923,15.65822511,22.57804233,20.87632275
Briët et al. (2003),Ivory_Coast,Petionara,-5.12,8.43,277,R,N,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,0,0,0.151578947,0.422857143,0.08,0,0,0,0
Briët et al. (2003),Ivory_Coast,Pohan,-7.93,6.54,249,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,8.444153451,17.2267158,18.46968625,18.56523457,19.20694203,7.966139541,1.863905319,0,0,0,0,0
Briët et al. (2003),Ivory_Coast,Pohan,-7.93,6.54,249,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Seileu,-8.17,7.1,337,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,3.44444445,4.900826449,4.297520662,0.134297521,2.500000007,4.384615396,4.185606071,0.492424244,0,0,0
Nzeyimana,Ivory_Coast,Tai,-7.12,5.75,218,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,7,3.59936,-9,-9,3.01568,-9,-9,0.68096,-9,3.01568,-9,2.62656,-9
Nzeyimana,Ivory_Coast,Tai,-7.12,5.75,218,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,7,45.51488,-9,-9,18.71424,-9,-9,2.54144,-9,14.09344,-9,79.24672,-9
Koudou 2005,Ivory_Coast,Tiemelekro,-4.617,6.5,91,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2002,1,-9,0,-9,1.2,-9,1.8,-9,9.6,-9,-9,-9,-9
Koudou 2005,Ivory_Coast,Tiemelekro,-4.617,6.5,91,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2003,1,-9,14.1,-9,30.3,11.4,0,0,3.9,-9,-9,-9,-9
Koudou 2005,Ivory_Coast,Tiemelekro,-4.617,6.5,91,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,2002,1,-9,0,-9,9.6,-9,9.9,-9,52.5,-9,-9,-9,-9
Koudou 2005,Ivory_Coast,Tiemelekro,-4.617,6.5,91,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,2003,1,-9,0,-9,52.2,41.7,61.8,60.6,3.9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Tioroniaradougou,-5.64,9.36,361,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,12,-9,-9,-9,2.079510704,7.939949961,13.13437368,15.02344878,10.54834055,9.731927272,36.37404919,30.93225248,14.15929204
Briët et al. (2003),Ivory_Coast,Tioroniaradougou,-5.64,9.36,361,R,N,AG,EIR from spray (Engorged per person times infection rate),1996,12,-9,-9,-9,-9,-9,0,0,0,0,0,0.36878882,0.931677019
Briët et al. (2003),Ivory_Coast,Vetouo,-8.12,6.96,280,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,0.45352324,1.690404803,10.55493028,15.94342987,14.37854345,9.656502926,12.36497382,13.68107302,1.609538002,0,0,0
Briët et al. (2003),Ivory_Coast,Vetouo,-8.12,6.96,280,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Yotta,-8.19,7.15,340,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,-9,-9,-9,-9,-9,0,8.694545455,14.25818182,15.11853659,12.7014,8.619
Briët et al. (2003),Ivory_Coast,Yotta,-8.19,7.15,340,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1999,4,5.751742571,6.38087626,9.369231655,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Yotta,-8.19,7.15,340,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,5.717628245,21.31115982,29.29254631,28.48397614,16.76883902,54.62946798,40.87301373,5.392992427,0.634469697,0,0,0
Briët et al. (2003),Ivory_Coast,Yotta,-8.19,7.15,340,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,4.202549971,6.880773973,8.008910676,-9,-9,-9,-9,-9,-9,-9,-9,-9
Nzeyimana2002,Ivory_Coast,Zaïpobly and Gahably,-7,5.5,180,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1995,7,5.4,-9,-9,4.2,-9,-9,0,-9,0.9,-9,0,-9
Nzeyimana2002,Ivory_Coast,Zaïpobly and Gahably,-7,5.5,180,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1996,7,1.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Nzeyimana2002,Ivory_Coast,Zaïpobly and Gahably,-7,5.5,180,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,7,70.8,-9,-9,20.4,-9,-9,5.4,-9,12,-9,36,-9
Nzeyimana2002,Ivory_Coast,Zaïpobly and Gahably,-7,5.5,180,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1996,7,3.6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Koudou 2005,Ivory_Coast,Zatta,-5.39,6.88,188,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,2002,1,-9,0,-9,0,-9,0,-9,0,-9,-9,-9,-9
Koudou 2005,Ivory_Coast,Zatta,-5.39,6.88,188,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,2003,1,-9,0,-9,0,0,0,4.8,0,-9,-9,-9,-9
Koudou 2005,Ivory_Coast,Zatta,-5.39,6.88,188,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,2002,1,-9,103.8,-9,48,-9,90.6,-9,18.9,-9,-9,-9,-9
Koudou 2005,Ivory_Coast,Zatta,-5.39,6.88,188,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,2003,1,-9,0,-9,0,0,4.5,14.1,0,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Zeale,-8.16,6.99,265,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,13.23973431,39.68900965,40.33654397,32.84324951,20.21140057,18.71381886,9.841880338,0.757575757,3.030303027,1.138211381,1.233333337,3.264705891
Briët et al. (2003),Ivory_Coast,Zeale,-8.16,6.99,265,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Ziglo,-7.8,6.57,256,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,-9,-9,-9,-9,-9,-9,5.601176471,8.724705882,11.95235294,10.6866,6.201
Briët et al. (2003),Ivory_Coast,Ziglo,-7.8,6.57,256,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,13.12950752,48.93725531,47.59024823,35.69563112,18.05040389,24.74252858,14.88687782,0.757575757,3.030303027,4.430894314,4.716666674,4.250000004
Briët et al. (2003),Ivory_Coast,Ziglo,-7.8,6.57,256,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,2.524290807,1.731922348,1.745844765,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Zoleu,-8.31,6.81,236,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,14.26396155,23.63366838,11.89101476,9.221062405,26.11786326,18.41894839,19.66267482,19.79714018,4.305931642,0.765027326,2.299999999,6.088235292
Briët et al. (2003),Ivory_Coast,Zoleu,-8.31,6.81,236,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,6.76470588,6.76470588,6.76470588,-9,-9,-9,-9,-9,-9,-9,-9,-9
Briët et al. (2003),Ivory_Coast,Zouan,-7.598,6.543,223,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,4,-9,-9,-9,-9,-9,-9,0.769230775,1.287878798,0.151515153,0,0,0
Briët et al. (2003),Ivory_Coast,Zouan,-7.598,6.543,223,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,4,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Githeko et al. (1993),Kenya,Ahero,34.92,-0.18,1152,PU,I,AF,EIR,1989,8,0.57,0.51,2.23,4.98,10.49,6.29,5.73,2.49,5.35,0,-9,-9
Githeko et al. (1993),Kenya,Ahero,34.92,-0.18,1152,PU,I,AG,EIR,1989,8,1.59,1.25,0.69,2.06,2.91,1.64,1.89,1.88,1.71,10.89,6.56,-9
Taylor et al. (1990),Kenya,Asembo,34.4,-0.18,1148,PU,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1988,3,0.924100285,0.301288305,0.787756291,4.017775834,7.386456374,3.653368605,3.119132039,0.965969266,3.467406974,5.502896727,2.400374578,1.414682821
Taylor et al. (1990),Kenya,Asembo,34.4,-0.18,1148,PU,N,AGSS,EIR from HUMAN BAIT and monthly sporozoites,1988,3,3.508219178,3.364220818,2.273815823,11.10655967,9.14711197,0.712194769,0.705331524,0.260584879,1.539800456,2.341439927,0.713016179,1.014101762
Muturi et al. (2008),Kenya,Kameichiri,37.622,-0.818,1188,R,N,AA,EIR FROM SPRAY HUMAN BITES,2004,4,0,0,0,0,0,0,0,0,0,0,0,0
Mbogo et al. (1993),Kenya,Kilifi,39.845,-3.614,18,PU,N,AG,EIR,1990,12,0.244670968,0.234514286,0.042854194,0.001216,0.035303226,0.192229333,0.497677419,0.50768,0.651674667,0.188872258,0.005776,0.191225806
Beier et al. (1990),Kenya,Kisian,34.67,-0.07,1246,PU,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1985,10,13.75,13.75,0.3125,1.875,-9,14.0625,5,5,10.3125,5.3125,2.5,1.5625
Beier et al. (1990),Kenya,Kisian,34.67,-0.07,1246,PU,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1986,10,4.375,7.5,17.1875,23.75,9.6875,2.5,6.875,2.1875,7.1875,7.1875,1.875,1.875
Beier et al. (1990),Kenya,Kisian,34.67,-0.07,1246,PU,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1987,10,1.875,0,1.875,2.5,0.3125,14.6875,4.6875,5,9.6875,-9,-9,-9
Beier et al. (1990),Kenya,Kisian,34.67,-0.07,1246,PU,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1985,10,0,0,0.3125,13.125,-9,7.8125,8.75,22.8125,55,36.5625,7.8125,1.875
Beier et al. (1990),Kenya,Kisian,34.67,-0.07,1246,PU,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1986,10,8.125,4.375,12.8125,19.6875,12.8125,34.0625,42.5,45.9375,31.5625,31.5625,5.3125,5
Beier et al. (1990),Kenya,Kisian,34.67,-0.07,1246,PU,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,10,5,5,12.8125,2.5,13.125,32.1875,35,22.1875,71.875,-9,-9,-9
Aniedu (1997),Kenya,Loboi,35.98,-0.47,2285,PU,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1994,1,1.38,0,0.9,0.81,5.64,1.8,2.34,1.41,1.23,1.26,0.81,2.01
Aniedu (1997),Kenya,Loboi,35.98,-0.47,2285,PU,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1994,1,0,0,0.36,0.3,0.27,0.3,0.3,0.33,0.63,0.39,0.48,0.39
Muturi et al. (2008),Kenya,Mbuinjeru,37.622,-0.818,1141,R,I,AA,EIR FROM SPRAY HUMAN BITES,2004,4,0,0,0,0,0,0,0,0,0.0019698,0,0,0
Shililu et al. (1998),Kenya,Mumias,34.49,0.34,1311,PU,N,AF,EIR FROM SPRAY HUMAN BITES,1995,5,0.39,3.36,2.1,1.65,2.67,0.66,0,1.02,0.81,0,1.32,-9
Shililu et al. (1998),Kenya,Mumias,34.49,0.34,1311,PU,N,AGSL,EIR FROM SPRAY HUMAN BITES,1995,5,3.03,3.54,2.46,1.59,0.63,1.44,0,3,2.28,2.76,4.92,-9
Muturi et al. (2008),Kenya,Murinduko,37.45,-0.57,1311,PU,N,AA,EIR FROM SPRAY HUMAN BITES,2004,4,0,0,0,0,0,0,0,0,0,0.0223872,0.0087516,0
Pull and Grab (1974),Kenya,Nyanza,34.76,-0.09,1170,U,PWB,AF,EIR,1972,8,3.446144,6.5534496,4.62308,3.3377376,5.916904,15.7500576,0.2784032,9.937,3.8098496,6.173024,3.0243136,7.7356752
Pull and Grab (1974),Kenya,Nyanza,34.76,-0.09,1170,U,PWB,AG,EIR,1972,8,8.601984,4.3620352,1.3224,5.856256,32.396672,17.2864432,8.430072,4.9401216,4.8258784,11.7362544,15.024136,9.1618912
Aniedu (1997),Kenya,Perkerra,35.98,-0.47,2285,PU,I,AG,EIR,1994,1,0,0,0.39,0.09,0.09,0.93,1.86,3.3,4.8,2.4,1.8,0.45
Beier et al. (1990),Kenya,Saradidi,34.24,-0.02,1221,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1985,10,0,0,0,0,0,0,0,0,12.11790393,17.03056769,0.327510917,0
Beier et al. (1990),Kenya,Saradidi,34.24,-0.02,1221,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1986,10,0,0,0.327510917,2.947598253,0.327510917,0,0.655021834,5.240174672,3.930131004,1.310043668,10.48034934,1.637554585
Beier et al. (1990),Kenya,Saradidi,34.24,-0.02,1221,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1987,10,0.327510917,0.327510917,2.292576419,0.327510917,0.327510917,0.327510917,0.327510917,3.27510917,5.895196507,-9,-9,-9
Beier et al. (1990),Kenya,Saradidi,34.24,-0.02,1221,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1985,10,0,0.327510917,0.327510917,9.497816594,3.930131004,0,41.92139738,43.55895197,67.13973799,57.6419214,7.532751092,1.965065502
Beier et al. (1990),Kenya,Saradidi,34.24,-0.02,1221,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1986,10,1.637554585,5.240174672,6.877729258,28.49344978,5.240174672,10.48034934,26.20087336,13.4279476,23.25327511,35.04366812,13.75545852,4.585152838
Beier et al. (1990),Kenya,Saradidi,34.24,-0.02,1221,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,10,0,10.80786026,17.03056769,4.257641921,17.68558952,17.03056769,17.03056769,34.71615721,68.77729258,-9,-9,-9
Mbogo et al. (1993),Kenya,Sokoke,39.877,-3.332,125,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1990,12,0.122580645,0.183268571,0.041285161,0.001216,0.108851613,0.626746667,2.368454194,0.975545806,2.281925333,0.842962581,0.096976,0.061192258
Lepers et al. (1991),Madagascar,Manarintsoa,47.42,-19,1290,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1988,10,0.011597938,0,-9,0,0.019329897,0.003865979,0.007731959,0.011597938,0,0,-9,-9
Lepers et al. (1991),Madagascar,Manarintsoa,47.42,-19,1290,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1988,10,0.003865979,0.143041237,-9,0.475515464,0.220360825,0.042525773,0.146907216,0.216494845,0.12757732,0.069587629,-9,-9
Andrianaivolambo et al. (2010),Madagascar,Saharevo,48.1,-18.82,873,R,I,AA,EIR,2003,10,0,1.89,10.5,24.39,13.14,15,0,3.75,1.5,0,0,0
Andrianaivolambo et al. (2010),Madagascar,Saharevo,48.1,-18.82,873,R,I,AF,EIR,2003,10,0,1.89,3,11.25,5.64,21,31.89,7.5,1.5,0,0,0
Andrianaivolambo et al. (2010),Madagascar,Saharevo,48.1,-18.82,873,R,I,AGSS,EIR,2003,10,3.75,0,0,3.75,0,7.5,0,0,0,0,0,0
Andrianaivolambo et al. (2010),Madagascar,Saharevo,48.1,-18.82,873,R,I,AMA,EIR,2003,10,150,67.5,12,7.5,15,40.5,69.39,110.64,39,37.5,57.51,90
Lepers et al. (1991),Madagascar,Sainte_Marie_Ambodifotatra,49.88,-17,3,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1988,11,1.827,0,0,0,0,0,0,0,0,0,0,0
Lepers et al. (1991),Madagascar,Sainte_Marie_Ambodifotatra,49.88,-17,3,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1989,11,0,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9
Lepers et al. (1991),Madagascar,Sainte_Marie_Ambodifotatra,49.88,-17,3,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1988,11,4.6656,37.5081,30.1032,3.078,13.0995,2.46,2.5038,0.6174,1.7775,0,0,0.5967
Lepers et al. (1991),Madagascar,Sainte_Marie_Ambodifotatra,49.88,-17,3,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1989,11,13.7853,-9,13.629,-9,19.596,-9,-9,-9,-9,-9,-9,-9
Lepers et al. (1991),Madagascar,Sainte_Marie_Ambodifotatra,49.88,-17,3,R,PWB,AMA,EIR from HUMAN BAIT and monthly sporozoites,1988,11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1.296,-9
Lepers et al. (1991),Madagascar,Sainte_Marie_Ambodifotatra,49.88,-17,3,R,PWB,AMA,EIR from HUMAN BAIT and monthly sporozoites,1989,11,1.536,-9,8.991,-9,4.833,-9,-9,-9,-9,-9,-9,-9
Sogoba (2007),Mali,Ndebougou_Sector,-5.96,14.327,280,R,N,AGSL,EIR from HUMAN BAIT and monthly sporozoites,1999,4,7.5,-9,-9,-9,2.4,-9,12.6,-9,-9,67.8,-9,-9
Sogoba (2007),Mali,Molodo_Sector,-6.03,14.257,280,R,N,AGSL,EIR from HUMAN BAIT and monthly sporozoites,1999,4,8.4,-9,-9,-9,47.4,-9,7.2,-9,-9,13.8,-9,-9
Sagara et al. (2002),Mali,Sotuba,-7.91,12.66,323,R,N,AG,EIR,1998,1,-9,-9,-9,-9,-9,0.105,0.36,0.3,0.087,1.8,0.6,0.34
Zharov (1992),Mozambique,CdSLCMPC,32.57,-25.92,35,PU,N,AA,EIR from SPRAYand monthly sporozoites,1985,1,-9,0,5.005819149,9.298859574,0.936331915,0.865214894,0,0,0,0.650553191,1.369468085,-9
Zharov (1992),Mozambique,CdSLCMPC,32.57,-25.92,35,PU,N,AF,EIR from SPRAYand monthly sporozoites,1985,1,-9,1.014195745,4.105931915,6.117985106,6.179048936,1.889285106,0.462446809,0.466646809,0.851140426,1.329002128,3.773238298,-9
Aranda et al. (2005),Mozambique,Manhica,32.48,-25.44,20,R,PWB,AF,EIR,1997,10,0.169491525,0.338983051,1.016949153,0.847457627,1.610169492,3.389830508,4.152542373,0.762711864,1.694915254,0.593220339,0.423728814,0
Aranda et al. (2005),Mozambique,Manhica,32.48,-25.44,20,R,PWB,AF,EIR,2001,10,3.838309115,3.804491413,2.942140026,2.434874505,4.655570233,3.917217085,0.873623954,1.764156759,5.100836636,0.360722149,0.495992955,0.69326288
Aranda et al. (2005),Mozambique,Manhica,32.48,-25.44,20,R,PWB,AG,EIR,2001,10,0.118361955,0.619991193,4.33430207,1.606340819,0.264905328,0.191633642,0.101453104,0.101453104,0.067635403,0,0.084544254,0.028181418
Muirhead and Thomson (1948),Nigeria,Apapa,3.37,6.46,5,U,PWB,AGSS,EIR from HAND and monthly sporozoites,1945,6,10.2,2.088,17.625,11.484,6.006,2.4,2.445,7.452,2.304,1.002,0.2505,-9
Muirhead and Thomson (1948),Nigeria,Apapa,3.37,6.46,5,U,PWB,AME,EIR from HAND and monthly sporozoites,1945,6,6.063,1.443,2.79,7.92,3.567,0,0,0.84,0.672,1.026,0.513,-9
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0,0,0.358803977
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1972,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0,0,0.358803977
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AF,EIR from spray (Engorged per person times infection rate),1972,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,3.813635533,18.96774195,1.093914591
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,0,0,0,0,0,0,0,0,0.914786957,0,0,0
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1972,11,0,0,0,0,0,0,0,0,0,1.837879474,8.169784044,0
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AG,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,3.813635533,18.96774195,1.093914591
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AG,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,0.914786957,0,0,0
Molineaux et al. (1980),Nigeria,Ajura,8.94,12.48,390,R,N,AG,EIR from spray (Engorged per person times infection rate),1972,11,0,0,0,0,0,0,0,0,0,1.837879474,8.169784044,0
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,1.875,2.008928571,0,0,0,0,3.348214286,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0,0,0
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0.859768899,1.241106133,6.002631754,3.166447939
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,46.875,16.07142857,0,0,0,3.080357143,3.75,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0.859768899,1.241106133,6.002631754,3.166447939
Molineaux et al. (1980),Nigeria,Jaya,9.18,12.38,380,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0,0,0.638655471
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,7.5,0.241935484,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0,0,0.638655471
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,2.483359378,13.06787024,2.580521661
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,341.25,43.66935484,3.482142857,0,0.803571429,2.544642857,2.946428571,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AG,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,2.483359378,13.06787024,2.580521661
Molineaux et al. (1980),Nigeria,Matsari,9.08,12.38,382,R,N,AG,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,0,0.128571429,0,0.21021021
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1971,11,0,0,0,0,0,0,0,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AF,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,0,0.128571429,0,0.21021021
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AF,EIR from spray (Engorged per person times infection rate),1971,11,0,0,0,0,0,0,0,0,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1970,11,0,0,0,0,0,0,0,0,2.426267276,1.665105386,8.390022675,13.106096
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1971,11,266.71875,31.33928571,0,0,0,1.527777778,7.5,-9,-9,-9,-9,-9
Molineaux et al. (1980),Nigeria,Nasakar,9.12,12.47,379,R,N,AG,EIR from spray (Engorged per person times infection rate),1970,11,0,0,0,0,0,0,0,0,2.426267276,1.665105386,8.390022675,13.106096
